cell,bin,n,pred,emp,delta,method,threshold,position
exante_low,"[0,0.1)",830,0.08207590361445782,0.07951807228915662,-0.002557831325301199,raw,15+,RB
exante_low,"[0.1,0.2)",764,0.11955431937172775,0.10471204188481675,-0.014842277486910999,raw,15+,RB
exante_low,"[0.2,0.3)",2,0.23099999999999998,0,-0.23099999999999998,raw,15+,RB
exante_mid,"[0,0.1)",23,0.09278260869565218,0.2608695652173913,0.1680869565217391,raw,15+,RB
exante_mid,"[0.1,0.2)",2187,0.15562871513488796,0.15134887974394148,-0.004279835390946479,raw,15+,RB
exante_mid,"[0.2,0.3)",1090,0.23187155963302752,0.23577981651376148,0.003908256880733957,raw,15+,RB
exante_mid,"[0.3,0.4)",49,0.3178673469387755,0.1836734693877551,-0.13419387755102039,raw,15+,RB
exante_high,"[0.1,0.2)",12,0.18916666666666668,0.08333333333333333,-0.10583333333333335,raw,15+,RB
exante_high,"[0.2,0.3)",793,0.26547730138713743,0.25346784363177804,-0.012009457755359387,raw,15+,RB
exante_high,"[0.3,0.4)",1648,0.3524872572815534,0.3313106796116505,-0.021176577669902885,raw,15+,RB
exante_high,"[0.4,0.5)",1581,0.4474860847564832,0.4471853257432005,-3.0075901328269206e-4,raw,15+,RB
exante_high,"[0.5,0.6)",645,0.541153488372093,0.5426356589147286,0.0014821705426356635,raw,15+,RB
exante_high,"[0.6,0.7)",199,0.6403140703517588,0.6381909547738693,-0.0021231155778894673,raw,15+,RB
exante_high,"[0.7,0.8)",65,0.737476923076923,0.7692307692307693,0.031753846153846244,raw,15+,RB
exante_high,"[0.8,0.9)",11,0.828,0.9090909090909091,0.0810909090909091,raw,15+,RB
exante_low,"[0,0.1)",869,0.08238827543742087,0.07364787111622555,-0.008740404321195328,platt,15+,RB
exante_low,"[0.1,0.2)",725,0.11943110089940569,0.11310344827586206,-0.006327652623543623,platt,15+,RB
exante_low,"[0.2,0.3)",2,0.22527761439946692,0,-0.22527761439946692,platt,15+,RB
exante_mid,"[0,0.1)",35,0.09392448734505637,0.2571428571428571,0.16321836979780074,platt,15+,RB
exante_mid,"[0.1,0.2)",2293,0.1558114393596383,0.15656345399040558,7.520146307672948e-4,platt,15+,RB
