player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,wt_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,baseline_target_share,baseline_air_yards_share,baseline_snap_share,baseline_tgt_per_snap,baseline_team_total_plays
00-0038041,DAL,DET,2025_14_DAL_DET,0.1872328918166072,0.1364109250307157,0.06739662146426058,7.024354624480008,-0.14780308391943894,-0.14780308391943894,FALSE,r4_5,Jake Ferguson,0.33503597573604615,70.56008871197426,0.7044030563836725,0.10439718391015328,12,FALSE,-0.6354061625355646,-0.0266963158437415,2025,14,NA,NA,NA,NA,0.1524822695035461,0.09287925696594428,0.6528571428571428,0.1396103896103896,70.58823529411765
00-0038129,TB,NO,2025_14_NO_TB,-0.20370162625783453,0.1618420172780307,0.11135513470910116,4.133469582419583,0.14405393424016824,0.14405393424016824,FALSE,r4_5,Cade Otton,-0.34775556049800277,66.96571174338241,0.9447885422687952,0.09243038383977982,12,FALSE,0.11939658713738682,-0.1936044829252472,2025,14,NA,NA,NA,NA,0.174,0.1551383399209486,0.9285714285714286,0.10163551401869159,68.29411764705883
00-0038933,BUF,CIN,2025_14_CIN_BUF,1.0648303062950155,0.1314913216695069,0.22755118123922613,12.335506473356356,0.19741398586047287,0.19741398586047287,FALSE,r1,Dalton Kincaid,0.8674163204345426,68.03319452426013,0.3346840731334505,0.18612531972465024,12,FALSE,0.4795889697063681,0.1753170359930936,2025,14,NA,NA,Questionable,Limited Participation in Practice,0.18382352941176472,0.18047244094488188,0.5700000000000001,0.1592356687898089,64.76470588235294
00-0038935,JAX,IND,2025_14_IND_JAX,0.7873036051866961,0.13731903622568306,0.15577116250167078,8.251355007515047,0.357494601111271,0.357494601111271,FALSE,r2_3,Brenton Strange,0.42980900407542505,68.43825636479765,0.7026224803288275,0.09542112621883628,12,FALSE,-0.09255397188524724,0.8751770112675359,2025,14,NA,NA,NA,NA,0.10495049504950495,0.08554942298043151,0.5423529411764706,0.09217391304347826,62.05882352941177
00-0039144,GB,CHI,2025_14_CHI_GB,0.3421785040405623,0.06620376921289153,0.04101600847069263,8.175962829952425,-0.47976185363028423,-0.47976185363028423,FALSE,r2_3,Luke Musgrave,0.8219403576708466,63.071529085022945,0.5049660504802143,0.06975904440958179,12,FALSE,-0.16031653058597525,0.4984151955392786,2025,14,NA,NA,NA,NA,0.04504504504504504,0.03552206673842842,0.30714285714285716,0.06896551724137931,65.58823529411765
00-0039338,LV,DEN,2025_14_DEN_LV,0.6960431892171497,0.18616166785068164,0.4047225712846621,8.071963377416367,0.17716066278127543,0.17716066278127543,FALSE,r1,Brock Bowers,0.5188825264358743,63.10230020846639,0.9247006729234674,0.13552064493773952,12,FALSE,-0.0691446869244243,0.8171764454697514,2025,14,NA,NA,NA,NA,0.22238372093023256,0.20718294051627384,0.8494117647058823,0.1600418410041841,66.58823529411765
00-0039793,SEA,ATL,2025_14_SEA_ATL,0.16953881953925487,0.16761740177302858,0.08964715349548558,3.950643954905972,0.2917537240504508,0.2917537240504508,FALSE,r4_5,AJ Barner,-0.12221490451119592,63.9118761807338,0.7592522173780422,0.09022778050529329,12,FALSE,0.29624979410355273,-0.01210272943128882,2025,14,NA,NA,NA,Full Participation in Practice,0.0692167577413479,0.0387243735763098,0.4505882352941177,0.07584830339321358,66.41176470588235
00-0040126,CHI,GB,2025_14_CHI_GB,0.7613299020106585,0.14387724676287833,0.16928630948313986,9.240233298673196,NA,0.09780411744330664,TRUE,r1,Colston Loveland,0.6635257845673519,76.4447513486276,0.6708560098823521,0.10601746835471083,12,FALSE,-0.33151796138619627,-0.03307624738510879,2025,14,NA,NA,NA,NA,0.17243124522536288,0.14503152495840593,0.62,0.14657210401891252,68.41176470588235
00-0040128,IND,JAX,2025_14_IND_JAX,0.3179840047473648,0.1893473812918106,0.10847842187583548,3.381968318596556,NA,0.09780411744330664,TRUE,r1,Tyler Warren,0.22017988730405821,62.90992296686277,0.8480462636990398,0.12366880735529964,12,FALSE,0.07231680646287121,0.0389693226759892,2025,14,NA,NA,NA,NA,0.17243124522536288,0.14503152495840593,0.62,0.14657210401891252,65
00-0040189,LAC,PHI,2025_14_PHI_LAC,0.5300443006406756,0.14246872664164234,0.221100828254732,11.267500419910084,NA,0.15253167493069733,TRUE,r4_5,Oronde Gadsden II,0.37751262570997834,65.07349409569905,0.7326004203033126,0.09800941970446558,12,FALSE,-0.7716122567727157,0.4539032723124229,2025,14,NA,NA,NA,NA,0.079002079002079,0.06955618998183234,0.404,0.0629575402635432,63.23529411764706
00-0040663,CLE,TEN,2025_14_TEN_CLE,0.04582202298979486,0.21030472743677603,0.16199775936572294,4.843066513409851,NA,0.28661220259131037,TRUE,r2_3,Harold Fannin Jr.,-0.2407901796015155,61.3343113446504,0.8100110047338893,0.1333107096728608,12,FALSE,0.05633112900261126,0.5485024050444659,2025,14,NA,NA,NA,NA,0.10290259795210291,0.08743676069012021,0.5423529411764706,0.07124681933842239,71.3529411764706
00-0040736,NYJ,MIA,2025_14_MIA_NYJ,-0.1382252019897302,0.15142913001938346,0.1559285795893018,6.826366407080779,NA,0.28661220259131037,TRUE,r2_3,Mason Taylor,-0.4248374045810406,61.87544259084804,0.8077420072432383,0.08895947649765874,12,FALSE,-0.4338049758628315,0.06604621523063482,2025,14,NA,NA,NA,NA,0.10290259795210291,0.08743676069012021,0.5423529411764706,0.07124681933842239,64.47058823529412
