player_id,player_name,posteam,defteam,season,week,game_id,epa_per_opp_obs,opportunities,targets,target_share_obs,air_yards_obs,air_yards_share_obs,air_yards_per_target_obs,team_total_plays_obs,total_epa,prior_epa_per_opp,baseline_epa_per_opp,rolling_epa_per_opp,form_residual,is_cold_start,draft_tier,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,wt_snap_share,wt_team_total_plays,baseline_target_share,baseline_air_yards_share,baseline_snap_share,baseline_team_total_plays,def_short_pass_epa_adj,def_deep_pass_epa_adj,games_played_so_far,def_used_fallback
00-0020337,Steve Smith,BAL,CIN,2014,1,2014_01_CIN_BAL,0.32842576248416055,15,15,0.23076923076923078,145,0.2965235173824131,9.666666666666666,88,4.926386437262408,0.22649922162094782,0.22649922162094782,NA,NA,FALSE,r2_3,NA,NA,NA,NA,NA,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.49660244126283687,0.4055983187400526,0,TRUE
00-0020337,Steve Smith,BAL,PIT,2014,2,2014_02_PIT_BAL,0.3772699978627989,10,10,0.3448275862068966,87,0.54375,8.7,69,3.772699978627989,0.22649922162094782,0.22649922162094782,0.32842576248416055,0.10192654086321273,FALSE,r2_3,0.23076923076923078,0.2965235173824131,9.666666666666666,0.73,88,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.14508924350260238,0.17655421625574086,1,TRUE
00-0020337,Steve Smith,BAL,CLE,2014,3,2014_03_BAL_CLE,0.8441783645502887,7,7,0.22580645161290322,95,0.3861788617886179,13.571428571428571,69,5.909248551852021,0.22649922162094782,0.22649922162094782,0.3548280518780192,0.12832883025707137,FALSE,r2_3,0.2924223958706718,0.4301594539324601,9.144144144144144,0.6921621621621622,77.72972972972973,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.12488121681624617,-0.15542639823527943,2,TRUE
00-0020337,Steve Smith,BAL,CAR,2014,4,2014_04_CAR_BAL,1.11152717989753,10,10,0.3225806451612903,102,0.3923076923076923,10.2,63,11.1152717989753,0.22649922162094782,0.22649922162094782,0.5450516914007673,0.31855246977981944,FALSE,r2_3,0.2665269850804799,0.4130630138376721,10.865148780600675,0.6641107871720117,74.33624878522838,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.09796203136842016,0.4792510473270579,3,FALSE
00-0020337,Steve Smith,BAL,IND,2014,5,2014_05_BAL_IND,-0.81104398174544,7,7,0.16666666666666666,42,0.1346153846153846,6,59,-5.67730787221808,0.22649922162094782,0.22649922162094782,0.7228182903877088,0.496319068766761,FALSE,r2_3,0.2841172757738657,0.40654975246239894,10.65641735453056,0.69106382144118,70.77880202408504,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.42582497289129817,-0.2858853131703062,4,FALSE
00-0020337,Steve Smith,BAL,TB,2014,6,2014_06_BAL_TB,1.783633040933637,6,6,0.21428571428571427,118,0.43223443223443225,19.666666666666668,64,10.701798245601822,0.22649922162094782,0.22649922162094782,0.3092257359558956,0.08272651433494776,FALSE,r2_3,0.2524477456454122,0.3332250271079938,9.400855115893176,0.7285267475702795,67.60275101494655,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.4503266942712985,0.656970273627482,5,FALSE
00-0020337,Steve Smith,BAL,ATL,2014,7,2014_07_ATL_BAL,0.7907786523923278,5,5,0.19230769230769232,32,0.1285140562248996,6.4,69,3.953893261961639,0.22649922162094782,0.22649922162094782,0.704489662831076,0.4779904412101281,FALSE,r2_3,0.24475133227402998,0.36431306261124013,12.1371394400819,0.7179620850684466,64.19094814293008,0.22540983606557377,0.30429355966050925,0.78,73.75,0.010985618999910624,0.8474063362065869,6,FALSE
00-0020337,Steve Smith,BAL,CIN,2014,8,2014_08_BAL_CIN,0.002045375350870879,9,9,0.2571428571428571,119,0.3520710059171598,13.222222222222221,66,0.018408378157837912,0.22649922162094782,0.22649922162094782,0.7669057073656051,0.5404064857446573,FALSE,r2_3,0.21863711412644532,0.2792638604926787,11.001393628007893,0.7497139611817702,64.91230592149057,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.28018945841344045,0.10626332400944996,6,FALSE
00-0020337,Steve Smith,BAL,PIT,2014,9,2014_09_BAL_PIT,-0.49096915559493937,8,8,0.16326530612244897,63,0.22661870503597123,7.875,70,-3.927753244759515,0.22649922162094782,0.22649922162094782,0.551422806357701,0.3249235847367532,FALSE,r2_3,0.22816210259397363,0.2861042254827349,11.292738429815282,0.7922743566106768,64.71653625579518,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.46288433529599304,0.40895535827885143,8,FALSE
00-0020337,Steve Smith,BAL,TEN,2014,10,2014_10_TEN_BAL,-0.5955322366374146,7,7,0.25,60,0.2222222222222222,8.571428571428571,63,-4.168725656461902,0.22649922162094782,0.22649922162094782,0.20333933269157511,-0.023159888929372707,FALSE,r2_3,0.19936689535757057,0.2573581583500388,10.501911737802336,0.823682979401093,66.3465446315268,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.4023074498134517,0.6309235925810369,8,FALSE
00-0020337,Steve Smith,BAL,NO,2014,12,2014_12_BAL_NO,1.972517919105788,6,6,0.24,82,0.5359477124183006,13.666666666666666,59,11.835107514634728,0.22649922162094782,0.22649922162094782,0.10929269384013135,-0.11720652778081647,FALSE,r2_3,0.21693196598370745,0.2625691602929348,10.519988214964965,0.8084520569414929,66.32312797342685,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.24814542963006248,0.49444390527131543,10,FALSE
00-0020337,Steve Smith,BAL,LAC,2014,13,2014_13_SD_BAL,-0.5338814128335798,4,4,0.12903225806451613,54,0.20532319391634982,13.5,73,-2.1355256513343193,0.22649922162094782,0.22649922162094782,0.4113749022902635,0.1848756806693157,FALSE,r2_3,0.2234686606073383,0.31598433054426844,10.274142427776601,0.8095591365412779,64.62645248162647,0.22540983606557377,0.30429355966050925,0.78,73.75,0.23632286226576657,0.9214443413852533,11,FALSE
00-0020337,Steve Smith,BAL,MIA,2014,14,2014_14_BAL_MIA,0.22299242445627565,11,11,0.3235294117647059,89,0.42788461538461536,8.090909090909092,62,2.4529166690190323,0.22649922162094782,0.22649922162094782,0.11110245686270817,-0.11539676475823965,FALSE,r2_3,0.20173284759933832,0.30857470199826986,11.607474003626727,0.8123216786516588,66.3610496460116,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.33239710902359954,-0.06455128085782942,12,FALSE
00-0020337,Steve Smith,BAL,JAX,2014,15,2014_15_JAX_BAL,0.28295180306304246,5,5,0.16666666666666666,34,0.12546125461254612,6.8,63,1.4147590153152123,0.22649922162094782,0.22649922162094782,0.154320335163797,-0.07217888645715081,FALSE,r2_3,0.22794490321021432,0.3355416247041656,10.466072502558546,0.7883128883466104,65.22832716248077,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.49647950222818105,0.6742518183710152,13,FALSE
00-0020337,Steve Smith,BAL,HOU,2014,16,2014_16_BAL_HOU,-0.31281006852562615,12,12,0.22641509433962265,159,0.33125,13.25,74,-3.753720822307514,0.22649922162094782,0.22649922162094782,0.26620793333072623,0.03970871170977841,FALSE,r2_3,0.21916011078704029,0.291926964448625,9.787547273580698,0.7846910669536099,64.05658927400776,0.22540983606557377,0.30429355966050925,0.78,73.75,-0.37395818342671966,-0.020417569634740857,14,FALSE
